src,dst
50,10743
50,11450
50,11711
50,13301
50,15316
51,10341
51,15243
52,615
52,1296
52,1608
52,8360
52,8793
52,13684
52,15320
53,2289
53,7475
53,8769
53,9091
53,9446
54,1690
55,1006
55,12377
55,13275
56,1274
56,1823
56,3338
56,6031
56,8103
56,8614
56,10253
56,12939
56,13966
57,893
57,1072
57,2654
57,2949
57,3338
57,4265
57,4630
57,4724
57,5344
57,6519
57,6822
57,7189
57,8692
57,8707
57,11445
57,11592
57,12238
57,13535
57,13634
57,13764
57,13960
57,14115
58,162
58,761
58,1407
58,4057
58,4397
58,7372
58,8042
58,10055
58,11487
58,14672
59,893
59,4724
59,5344
59,5569
59,5619
59,7443
59,8101
59,9170
59,9244
59,11592
59,12238
59,14115
60,644
60,1148
60,1482
60,2194
60,3122
60,3647
60,5069
60,7015
60,7149
60,7569
60,8008
60,9294
60,9588
60,10173
60,11060
61,1423
61,1637
61,4546
61,6181
61,11798
61,12893
62,428
62,1707
62,2796
62,5301
62,7470
62,8361
62,10975
62,11233
62,11558
62,12227
62,12419
62,12875
62,14437
62,14804
63,1446
63,1625
63,1730
63,2179
63,2791
63,2904
63,3339
63,3627
63,4367
63,5463
63,5481
63,5775
63,6256
63,7135
63,7592
63,7941
63,8114
63,8447
63,8500
63,8698
63,9480
63,10056
63,10236
63,10276
63,10499
63,11592
63,11602
63,12393
63,13261
63,13484
63,13574
63,13713
63,13895
63,14252
63,14578
63,14945
63,15130
64,864
64,1420
64,1620
64,1930
64,5147
64,5463
64,5775
64,6680
64,8197
64,12013
64,12719
64,13771
64,13940
65,1397
65,1941
65,4558
65,5484
65,6334
65,7421
65,9302
66,2804
66,7399
66,15224
66,15338
67,3598
67,4339
67,5202
67,9205
67,9406
67,11834
67,14043
68,117
68,597
68,1044
68,1149
68,1234
68,1326
68,2444
68,2714
68,3770
68,3893
68,7241
68,8754
68,11432
68,11928
68,12079
69,1431
69,3631
69,3699
69,3795
69,3913
69,4692
69,5523
69,6438
69,6639
69,13777
69,14208
69,15224
70,7899
70,12564
71,3520
71,5189
71,10869
72,6264
72,12222
73,4100
73,5666
73,7162
73,7931
73,12358
74,6273
74,11368
75,1471
75,1730
75,2020
75,2612
75,3802
75,4583
75,5024
75,5463
75,8287
75,8398
75,8505
75,9054
